source                                        #kernels    count     sum (ms)    frac
-------------------------------------------------------------------------------------
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:880:33-44->autotrade/equilibrium.fut:131:20-34->lib/github.com/diku-dk/linalg/lup.fut:106:18-23->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    17808     27030.35  0.4719
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:568:60-884:122        9      116      9713.00  0.1695
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:884:60-65        3      252      8362.41  0.1459
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:568:60-884:70        3       42      4874.16  0.0852
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:65-581:61->autotrade/equilibrium.fut:481:23-39->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    11530       957.66  0.0167
autotrade/equilibrium.fut:90:28-94:43->autotrade/equilibrium.fut:89:45-94:43->autotrade/equilibrium.fut:81:101-84:99        3        4       419.23  0.0072
autotrade/equilibrium.fut:90:28-97:17->autotrade/equilibrium.fut:89:45-96:71->autotrade/equilibrium.fut:37:79-61:50        6       10       380.23  0.0066
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:65-581:61->autotrade/equilibrium.fut:479:38-488:41        3      252       367.80  0.0065
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:851:50-866:48->autotrade/equilibrium.fut:567:48-579:49->autotrade/equilibrium.fut:402:13-408:43        3      252       360.67  0.0064
run_equilibrium_man.fut:109:7-111:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium_man.fut:14:26-50->autotrade/equilibrium.fut:852:42-863:58->autotrade/equilibrium.fut:851:70-859:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6      228       268.85  0.0046
