source                                        #kernels    count     sum (ms)    frac
-------------------------------------------------------------------------------------
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:551:60-679:122        9      305     29816.71  0.2485
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:679:60-65        3      756     27449.36  0.2287
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:61-562:61->autotrade/equilibrium.fut:481:23-39->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    26175      9417.05  0.0784
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:551:60-679:70        3       70      9126.66  0.0761
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:675:33-44->autotrade/equilibrium.fut:131:20-34->lib/github.com/diku-dk/linalg/lup.fut:106:18-23->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:73:7-75:77        9    27261      5409.16  0.0451
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:646:46-661:44->autotrade/equilibrium.fut:550:61-562:61->autotrade/equilibrium.fut:481:23-39->lib/github.com/diku-dk/linalg/lup.fut:83:51-63->lib/github.com/diku-dk/linalg/lup.fut:70:13-29->lib/github.com/diku-dk/linalg/perm.fut:49:17-23        3     3234      3065.13  0.0255
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:117:5-118:74        6      588      2398.44  0.0200
<unknown:futhark_mc_segmap_parloop_544339>           1    17248      2102.40  0.0175
run_equilibrium.fut:110:7-112:69->run_equilibrium_module.fut:59:34-66:142->run_equilibrium_module.fut:35:8-38:35->run_equilibrium_module.fut:28:8-32:45->run_equilibrium.fut:15:26-46->autotrade/equilibrium.fut:647:42-658:58->autotrade/equilibrium.fut:646:66-654:123->lib/github.com/diku-dk/linalg/dpsolve.fut:228:28-238:57->lib/github.com/diku-dk/linalg/dpsolve.fut:206:32-63->lib/github.com/diku-dk/linalg/dpsolve.fut:257:48-64->lib/github.com/diku-dk/linalg/lu.fut:183:17-31->lib/github.com/diku-dk/linalg/lu.fut:157:13-28->lib/github.com/diku-dk/linalg/lu.fut:118:32-73        3     6300      1843.50  0.0154
<unknown:futhark_mc_segmap_parloop_544413>           1    17248      1840.11  0.0153
